ACCELEROMETER X (,/s²),ACCELEROMETER Y (,/s²),ACCELEROMETER Z (,/s²),GRAVITY X (,/s²),GRAVITY Y (,/s²),GRAVITY Z (,/s²),LINEAR ACCELERATION X (,/s²),LINEAR ACCELERATION Y (,/s²),LINEAR ACCELERATION Z (,/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (,,x),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azi,,th °),ORIENTATION X (pit,h °),ORIENTATION Y (r,,, °),PROXIMITY (,),SOUND LEVEL (dB),LOCATION Latit,de : ,LOCATION L,ngit,de : ,LOCATION A,tit,de ( ,),LOCATION A,tit,de-g,,g,e ( ,),LOCATION Speed ( ,/s),LOCATION A,,,ra,y ( ,),LOCATION ORIENTATION (°),Sate,,ites in range,Ti,e sin,e start in ,s ,YYYY-MO-DD HH-MI-SS_SSS
0.194733,-0.590729,9.926315,0.124199,-0.488696,9.793678,0.075679,-0.076361,0.080005,0.004135,0.005173,-0.00061,2147.4836,31.7017,-8.6716,-42.4088,251.2201,2.8564,-0.7266,5,64.87062,49.010677,8.421474,159.0662,NaN,9.86,6.432,240.3,17 / 29,25008,2018-07-03 13:47:20:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.142059,-0.59433,9.775482,0.112509,-0.528992,9.791726,0.019678,-0.047734,-0.046108,-0.000122,-0.00354,0.000824,2147.4836,30.2979,-10.4279,-39.0854,249.816,3.017,-0.6009,5,68.91233,49.010677,8.421474,159.0662,NaN,9.86,6.432,240.3,17 / 29,25508,2018-07-03 13:47:20:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.145645,-0.563202,9.798233,0.133331,-0.544169,9.790633,0.06018,0.003913,0.031993,-0.002075,0.005524,-0.000427,2147.4836,27.0294,-7.2922,-40.3961,251.5511,3.181,-0.7802,5,66.00598,49.01062,8.421372,158.0079,NaN,8.98,6.432,237.9,17 / 29,26008,2018-07-03 13:47:21:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.060654,-0.328567,9.780273,0.051182,-0.474365,9.795036,0.040961,0.237513,0.029478,0.002014,0.001434,-0.001144,2147.4836,25.0732,-6.8558,-43.2617,246.0103,2.8032,-0.3001,5,64.85062,49.01062,8.421372,158.0079,NaN,8.98,6.432,237.9,17 / 29,26508,2018-07-03 13:47:21:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.077423,0.044922,9.633026,0.085157,-0.21358,9.803954,0.060689,0.323856,-0.14303,-0.001007,-0.003189,-0.000778,2147.4836,20.9885,-9.5871,-45.195,242.0193,1.7045,-0.4146,5,62.51575,49.01059,8.421252,157.3811,NaN,9.29,5.36,241.6,12 / 21,27011,2018-07-03 13:47:22:057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.163605,0.548904,9.962234,0.099738,0.052832,9.806,-0.000972,0.526704,0.006536,-0.001007,0.004272,0.002045,2147.4836,8.8684,-5.4184,-41.2979,240.013,0.8102,-0.5578,5,65.82178,49.01059,8.421252,157.3811,NaN,9.29,5.36,241.6,12 / 21,27508,2018-07-03 13:47:22:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.076218,0.740448,9.831741,0.076286,0.353631,9.799975,0.043964,0.359095,-0.025853,0.000229,0.000015,0.001526,2147.4836,1.4099,-5.9555,-41.4032,196.2764,-2.0666,-0.446,5,62.95911,49.010544,8.421127,157.7083,NaN,8.67,6.432,243.5,11 / 19,28010,2018-07-03 13:47:23:056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.067841,0.41124,10.029266,0.037104,0.555528,9.790833,0.081635,-0.085413,0.028038,-0.000305,0.003036,-0.000427,2147.4836,11.3113,-9.5261,-46.8704,236.7736,-3.2546,-0.2093,5,63.599,49.010544,8.421127,157.7083,NaN,8.67,6.432,243.5,11 / 19,28509,2018-07-03 13:47:23:555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.132477,0.201752,9.823364,0.068823,0.379248,9.799073,0.070688,-0.185125,-0.001748,0.000412,0.002853,-0.000778,2147.4836,23.7106,-11.1526,-42.9718,249.3534,-2.4886,-0.3001,5,63.57846,49.010525,8.421007,158.9024,NaN,8.94,7.504,246.1,11 / 20,29008,2018-07-03 13:47:24:054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.216278,0.122742,9.832947,0.088228,0.22248,9.803729,0.039136,-0.192728,0.077641,-0.002441,-0.007446,0.001175,2147.4836,25.5569,-4.2282,-44.1956,263.9496,-1.5862,-0.3598,5,65.18041,49.010525,8.421007,158.9024,NaN,8.94,7.504,246.1,11 / 20,29508,2018-07-03 13:47:24:554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
